Parents_relationship,中等,中等偏上,中等偏下,很富裕,比较困难
一般,6.6923076923076925,6.166666666666667,6.814814814814815,3.0,6.133333333333334
不太和睦,8.894736842105264,13.333333333333334,7.5,7.0,9.0
很不和睦,7.8,10.0,10.25,,
比较和睦,4.9145569620253164,5.168918918918919,4.793388429752066,5.6,5.44
非常和睦,3.395872420262664,3.221476510067114,2.788235294117647,3.1666666666666665,1.8823529411764706
