Parents_relationship,中等,中等偏上,中等偏下,很富裕,比较困难
一般,10.923076923076923,9.958333333333334,11.018518518518519,5.0,10.666666666666666
不太和睦,13.131578947368421,16.333333333333332,12.5,11.0,15.0
很不和睦,13.333333333333334,12.0,14.833333333333334,,
比较和睦,8.208860759493671,8.108108108108109,8.702479338842975,10.6,9.36
非常和睦,6.084427767354597,5.389261744966443,5.8352941176470585,4.866666666666666,5.823529411764706
